trainable params: 29,933,568 || all params: 3,115,872,256 || trainable%: 0.9607
{'loss': '0.6943', 'grad_norm': '0.2696', 'learning_rate': '0', 'epoch': '0.0005387'}
{'loss': '0.1007', 'grad_norm': '0.1694', 'learning_rate': '1.507e-05', 'epoch': '0.2694'}
{'loss': '0.0608', 'grad_norm': '0.1717', 'learning_rate': '1.496e-05', 'epoch': '0.2747'}
{'loss': '0.05178', 'grad_norm': '0.1302', 'learning_rate': '1.485e-05', 'epoch': '0.2801'}
{'loss': '0.06837', 'grad_norm': '0.1089', 'learning_rate': '1.474e-05', 'epoch': '0.2855'}
{'loss': '0.04106', 'grad_norm': '0.02411', 'learning_rate': '1.463e-05', 'epoch': '0.2909'}
{'loss': '0.07999', 'grad_norm': '0.04118', 'learning_rate': '1.452e-05', 'epoch': '0.2963'}
{'loss': '0.06667', 'grad_norm': '0.2393', 'learning_rate': '1.441e-05', 'epoch': '0.3017'}
{'loss': '0.03204', 'grad_norm': '0.09144', 'learning_rate': '1.43e-05', 'epoch': '0.3071'}
{'loss': '0.1786', 'grad_norm': '1.028', 'learning_rate': '1.418e-05', 'epoch': '0.3125'}
{'loss': '0.1348', 'grad_norm': '0.1162', 'learning_rate': '1.407e-05', 'epoch': '0.3178'}
{'loss': '0.05093', 'grad_norm': '0.01675', 'learning_rate': '1.396e-05', 'epoch': '0.3232'}
{'eval_loss': '0.1274', 'eval_runtime': '39.97', 'eval_samples_per_second': '3.753', 'eval_steps_per_second': '3.753', 'epoch': '0.3232'}
{'loss': '0.06177', 'grad_norm': '0.1212', 'learning_rate': '1.385e-05', 'epoch': '0.3286'}
{'loss': '0.06681', 'grad_norm': '0.6775', 'learning_rate': '1.374e-05', 'epoch': '0.334'}
{'loss': '0.07189', 'grad_norm': '0.3303', 'learning_rate': '1.363e-05', 'epoch': '0.3394'}
{'loss': '0.1319', 'grad_norm': '0.1005', 'learning_rate': '1.352e-05', 'epoch': '0.3448'}
{'loss': '0.1483', 'grad_norm': '0.05385', 'learning_rate': '1.341e-05', 'epoch': '0.3502'}
{'loss': '0.1025', 'grad_norm': '0.1816', 'learning_rate': '1.33e-05', 'epoch': '0.3556'}
{'loss': '0.08168', 'grad_norm': '0.02669', 'learning_rate': '1.319e-05', 'epoch': '0.3609'}
{'loss': '0.07092', 'grad_norm': '0.1608', 'learning_rate': '1.307e-05', 'epoch': '0.3663'}
{'loss': '0.06872', 'grad_norm': '0.2863', 'learning_rate': '1.296e-05', 'epoch': '0.3717'}
{'loss': '0.0965', 'grad_norm': '0.007938', 'learning_rate': '1.285e-05', 'epoch': '0.3771'}
{'loss': '0.07195', 'grad_norm': '0.3254', 'learning_rate': '1.274e-05', 'epoch': '0.3825'}
{'loss': '0.04772', 'grad_norm': '0.1729', 'learning_rate': '1.263e-05', 'epoch': '0.3879'}
{'loss': '0.1414', 'grad_norm': '1.31', 'learning_rate': '1.252e-05', 'epoch': '0.3933'}
{'loss': '0.1243', 'grad_norm': '0.003251', 'learning_rate': '1.241e-05', 'epoch': '0.3987'}
{'loss': '0.1158', 'grad_norm': '0.2806', 'learning_rate': '1.23e-05', 'epoch': '0.404'}
{'loss': '0.054', 'grad_norm': '0.08157', 'learning_rate': '1.219e-05', 'epoch': '0.4094'}
{'loss': '0.06762', 'grad_norm': '0.219', 'learning_rate': '1.208e-05', 'epoch': '0.4148'}
{'loss': '0.09467', 'grad_norm': '0.06611', 'learning_rate': '1.196e-05', 'epoch': '0.4202'}
{'loss': '0.09479', 'grad_norm': '0.1025', 'learning_rate': '1.185e-05', 'epoch': '0.4256'}
{'loss': '0.04249', 'grad_norm': '0.2029', 'learning_rate': '1.174e-05', 'epoch': '0.431'}
{'eval_loss': '0.1384', 'eval_runtime': '42.77', 'eval_samples_per_second': '3.507', 'eval_steps_per_second': '3.507', 'epoch': '0.431'}
{'loss': '0.1049', 'grad_norm': '0.2312', 'learning_rate': '1.163e-05', 'epoch': '0.4364'}
{'loss': '0.05805', 'grad_norm': '0.05522', 'learning_rate': '1.152e-05', 'epoch': '0.4418'}
{'loss': '0.1277', 'grad_norm': '0.2509', 'learning_rate': '1.141e-05', 'epoch': '0.4471'}
{'loss': '0.11', 'grad_norm': '0.1728', 'learning_rate': '1.13e-05', 'epoch': '0.4525'}
{'loss': '0.07663', 'grad_norm': '0.2742', 'learning_rate': '1.119e-05', 'epoch': '0.4579'}
{'loss': '0.07339', 'grad_norm': '0.1255', 'learning_rate': '1.108e-05', 'epoch': '0.4633'}
{'loss': '0.05877', 'grad_norm': '0.9073', 'learning_rate': '1.097e-05', 'epoch': '0.4687'}
{'loss': '0.08237', 'grad_norm': '0.1829', 'learning_rate': '1.085e-05', 'epoch': '0.4741'}
{'loss': '0.1348', 'grad_norm': '0.1062', 'learning_rate': '1.074e-05', 'epoch': '0.4795'}
{'loss': '0.1539', 'grad_norm': '0.05584', 'learning_rate': '1.063e-05', 'epoch': '0.4848'}
{'loss': '0.06076', 'grad_norm': '0.006693', 'learning_rate': '1.052e-05', 'epoch': '0.4902'}
{'loss': '0.05407', 'grad_norm': '0.02983', 'learning_rate': '1.041e-05', 'epoch': '0.4956'}
{'loss': '0.08895', 'grad_norm': '0.1815', 'learning_rate': '1.03e-05', 'epoch': '0.501'}
{'loss': '0.09765', 'grad_norm': '0.5804', 'learning_rate': '1.019e-05', 'epoch': '0.5064'}
{'loss': '0.07434', 'grad_norm': '0.2233', 'learning_rate': '1.008e-05', 'epoch': '0.5118'}
{'loss': '0.08844', 'grad_norm': '0.02082', 'learning_rate': '9.967e-06', 'epoch': '0.5172'}
{'loss': '0.0967', 'grad_norm': '0.01418', 'learning_rate': '9.856e-06', 'epoch': '0.5226'}
{'loss': '0.06849', 'grad_norm': '0.4675', 'learning_rate': '9.745e-06', 'epoch': '0.5279'}
{'loss': '0.1085', 'grad_norm': '0.6402', 'learning_rate': '9.634e-06', 'epoch': '0.5333'}
{'loss': '0.1223', 'grad_norm': '0.1826', 'learning_rate': '9.523e-06', 'epoch': '0.5387'}
{'eval_loss': '0.1138', 'eval_runtime': '39.77', 'eval_samples_per_second': '3.772', 'eval_steps_per_second': '3.772', 'epoch': '0.5387'}
{'loss': '0.06122', 'grad_norm': '0.08041', 'learning_rate': '9.412e-06', 'epoch': '0.5441'}
{'loss': '0.1294', 'grad_norm': '0.5497', 'learning_rate': '9.301e-06', 'epoch': '0.5495'}
{'loss': '0.1876', 'grad_norm': '1.405', 'learning_rate': '9.19e-06', 'epoch': '0.5549'}
{'loss': '0.07438', 'grad_norm': '0.00569', 'learning_rate': '9.079e-06', 'epoch': '0.5603'}
{'loss': '0.0554', 'grad_norm': '0.09378', 'learning_rate': '8.968e-06', 'epoch': '0.5657'}
{'loss': '0.06257', 'grad_norm': '0.1317', 'learning_rate': '8.857e-06', 'epoch': '0.571'}
{'loss': '0.1123', 'grad_norm': '0.06376', 'learning_rate': '8.746e-06', 'epoch': '0.5764'}
{'loss': '0.1403', 'grad_norm': '0.2738', 'learning_rate': '8.635e-06', 'epoch': '0.5818'}
{'loss': '0.09213', 'grad_norm': '0.04224', 'learning_rate': '8.524e-06', 'epoch': '0.5872'}
{'loss': '0.1081', 'grad_norm': '0.0873', 'learning_rate': '8.413e-06', 'epoch': '0.5926'}
{'loss': '0.09495', 'grad_norm': '0.06046', 'learning_rate': '8.302e-06', 'epoch': '0.598'}
{'loss': '0.06395', 'grad_norm': '0.02684', 'learning_rate': '8.191e-06', 'epoch': '0.6034'}
{'loss': '0.09719', 'grad_norm': '0.08341', 'learning_rate': '8.08e-06', 'epoch': '0.6088'}
{'loss': '0.1359', 'grad_norm': '0.2298', 'learning_rate': '7.969e-06', 'epoch': '0.6141'}
{'loss': '0.05992', 'grad_norm': '0.203', 'learning_rate': '7.858e-06', 'epoch': '0.6195'}
{'loss': '0.1274', 'grad_norm': '0.1607', 'learning_rate': '7.747e-06', 'epoch': '0.6249'}
{'loss': '0.1444', 'grad_norm': '0.05095', 'learning_rate': '7.636e-06', 'epoch': '0.6303'}
{'loss': '0.06951', 'grad_norm': '0.02764', 'learning_rate': '7.525e-06', 'epoch': '0.6357'}
{'loss': '0.08453', 'grad_norm': '0.1446', 'learning_rate': '7.414e-06', 'epoch': '0.6411'}
{'loss': '0.1095', 'grad_norm': '0.3133', 'learning_rate': '7.303e-06', 'epoch': '0.6465'}
{'eval_loss': '0.1141', 'eval_runtime': '68.53', 'eval_samples_per_second': '2.189', 'eval_steps_per_second': '2.189', 'epoch': '0.6465'}
{'loss': '0.07273', 'grad_norm': '0.02602', 'learning_rate': '7.192e-06', 'epoch': '0.6519'}
{'loss': '0.05682', 'grad_norm': '0.3187', 'learning_rate': '7.081e-06', 'epoch': '0.6572'}
{'loss': '0.2179', 'grad_norm': '0.002684', 'learning_rate': '6.97e-06', 'epoch': '0.6626'}
{'loss': '0.128', 'grad_norm': '0.3527', 'learning_rate': '6.859e-06', 'epoch': '0.668'}
{'loss': '0.08905', 'grad_norm': '0.3499', 'learning_rate': '6.748e-06', 'epoch': '0.6734'}
{'loss': '0.07966', 'grad_norm': '1.328', 'learning_rate': '6.637e-06', 'epoch': '0.6788'}
{'loss': '0.05435', 'grad_norm': '0.2495', 'learning_rate': '6.526e-06', 'epoch': '0.6842'}
{'loss': '0.1149', 'grad_norm': '0.09098', 'learning_rate': '6.415e-06', 'epoch': '0.6896'}
{'loss': '0.09353', 'grad_norm': '0.265', 'learning_rate': '6.304e-06', 'epoch': '0.6949'}
{'loss': '0.03754', 'grad_norm': '0.1333', 'learning_rate': '6.193e-06', 'epoch': '0.7003'}
{'loss': '0.1026', 'grad_norm': '0.02765', 'learning_rate': '6.082e-06', 'epoch': '0.7057'}
{'loss': '0.1043', 'grad_norm': '0.09258', 'learning_rate': '5.971e-06', 'epoch': '0.7111'}
{'loss': '0.04625', 'grad_norm': '0.03258', 'learning_rate': '5.86e-06', 'epoch': '0.7165'}
{'loss': '0.09358', 'grad_norm': '0.6571', 'learning_rate': '5.749e-06', 'epoch': '0.7219'}
{'loss': '0.08702', 'grad_norm': '0.2875', 'learning_rate': '5.638e-06', 'epoch': '0.7273'}
{'loss': '0.04148', 'grad_norm': '0.0643', 'learning_rate': '5.527e-06', 'epoch': '0.7327'}
{'loss': '0.05221', 'grad_norm': '0.259', 'learning_rate': '5.416e-06', 'epoch': '0.738'}
{'loss': '0.0791', 'grad_norm': '0.003928', 'learning_rate': '5.305e-06', 'epoch': '0.7434'}
{'loss': '0.1092', 'grad_norm': '0.1051', 'learning_rate': '5.194e-06', 'epoch': '0.7488'}
{'loss': '0.04989', 'grad_norm': '0.3951', 'learning_rate': '5.083e-06', 'epoch': '0.7542'}
{'eval_loss': '0.1268', 'eval_runtime': '39.79', 'eval_samples_per_second': '3.77', 'eval_steps_per_second': '3.77', 'epoch': '0.7542'}
{'loss': '0.07845', 'grad_norm': '0.4735', 'learning_rate': '4.972e-06', 'epoch': '0.7596'}
{'loss': '0.06024', 'grad_norm': '0.4995', 'learning_rate': '4.861e-06', 'epoch': '0.765'}
{'loss': '0.06117', 'grad_norm': '0.1645', 'learning_rate': '4.75e-06', 'epoch': '0.7704'}
{'loss': '0.08179', 'grad_norm': '0.3396', 'learning_rate': '4.639e-06', 'epoch': '0.7758'}
{'loss': '0.04729', 'grad_norm': '0.3686', 'learning_rate': '4.528e-06', 'epoch': '0.7811'}
{'loss': '0.1089', 'grad_norm': '0.9132', 'learning_rate': '4.417e-06', 'epoch': '0.7865'}
{'loss': '0.05996', 'grad_norm': '0.6733', 'learning_rate': '4.306e-06', 'epoch': '0.7919'}
{'loss': '0.06228', 'grad_norm': '0.2019', 'learning_rate': '4.195e-06', 'epoch': '0.7973'}
{'loss': '0.08184', 'grad_norm': '0.2089', 'learning_rate': '4.084e-06', 'epoch': '0.8027'}
{'loss': '0.04777', 'grad_norm': '0.003395', 'learning_rate': '3.973e-06', 'epoch': '0.8081'}
{'loss': '0.1075', 'grad_norm': '0.275', 'learning_rate': '3.862e-06', 'epoch': '0.8135'}
{'loss': '0.05928', 'grad_norm': '0.1362', 'learning_rate': '3.751e-06', 'epoch': '0.8189'}
{'loss': '0.03866', 'grad_norm': '0.08843', 'learning_rate': '3.64e-06', 'epoch': '0.8242'}
{'loss': '0.04172', 'grad_norm': '0.0449', 'learning_rate': '3.529e-06', 'epoch': '0.8296'}
{'loss': '0.1226', 'grad_norm': '0.07264', 'learning_rate': '3.418e-06', 'epoch': '0.835'}
{'loss': '0.1602', 'grad_norm': '0.01446', 'learning_rate': '3.307e-06', 'epoch': '0.8404'}
{'loss': '0.09343', 'grad_norm': '0.002611', 'learning_rate': '3.196e-06', 'epoch': '0.8458'}
{'loss': '0.04283', 'grad_norm': '0.08754', 'learning_rate': '3.085e-06', 'epoch': '0.8512'}
{'loss': '0.116', 'grad_norm': '0.1434', 'learning_rate': '2.974e-06', 'epoch': '0.8566'}
{'loss': '0.06209', 'grad_norm': '0.5165', 'learning_rate': '2.863e-06', 'epoch': '0.862'}
{'eval_loss': '0.1212', 'eval_runtime': '39.68', 'eval_samples_per_second': '3.78', 'eval_steps_per_second': '3.78', 'epoch': '0.862'}
{'loss': '0.06117', 'grad_norm': '0.06606', 'learning_rate': '2.752e-06', 'epoch': '0.8673'}
{'loss': '0.0973', 'grad_norm': '0.03538', 'learning_rate': '2.642e-06', 'epoch': '0.8727'}
{'loss': '0.07375', 'grad_norm': '0.317', 'learning_rate': '2.531e-06', 'epoch': '0.8781'}
{'loss': '0.1291', 'grad_norm': '0.1341', 'learning_rate': '2.42e-06', 'epoch': '0.8835'}
{'loss': '0.1061', 'grad_norm': '0.1337', 'learning_rate': '2.309e-06', 'epoch': '0.8889'}
{'loss': '0.03977', 'grad_norm': '0.06212', 'learning_rate': '2.198e-06', 'epoch': '0.8943'}
{'loss': '0.0527', 'grad_norm': '0.01311', 'learning_rate': '2.087e-06', 'epoch': '0.8997'}
{'loss': '0.04833', 'grad_norm': '0.04736', 'learning_rate': '1.976e-06', 'epoch': '0.9051'}
{'loss': '0.04039', 'grad_norm': '0.4859', 'learning_rate': '1.865e-06', 'epoch': '0.9104'}
{'loss': '0.1419', 'grad_norm': '0.0167', 'learning_rate': '1.754e-06', 'epoch': '0.9158'}
{'loss': '0.06383', 'grad_norm': '0.3512', 'learning_rate': '1.643e-06', 'epoch': '0.9212'}
{'loss': '0.09932', 'grad_norm': '0.6368', 'learning_rate': '1.532e-06', 'epoch': '0.9266'}
{'loss': '0.08405', 'grad_norm': '0.02117', 'learning_rate': '1.421e-06', 'epoch': '0.932'}
{'loss': '0.1262', 'grad_norm': '0.5524', 'learning_rate': '1.31e-06', 'epoch': '0.9374'}
{'loss': '0.06531', 'grad_norm': '0.05989', 'learning_rate': '1.199e-06', 'epoch': '0.9428'}
{'loss': '0.05562', 'grad_norm': '0.08759', 'learning_rate': '1.088e-06', 'epoch': '0.9481'}
{'loss': '0.07499', 'grad_norm': '0.8352', 'learning_rate': '9.767e-07', 'epoch': '0.9535'}
{'loss': '0.08578', 'grad_norm': '0.07231', 'learning_rate': '8.657e-07', 'epoch': '0.9589'}
{'loss': '0.08545', 'grad_norm': '0.7032', 'learning_rate': '7.547e-07', 'epoch': '0.9643'}
{'loss': '0.1076', 'grad_norm': '0.0791', 'learning_rate': '6.437e-07', 'epoch': '0.9697'}
{'eval_loss': '0.1166', 'eval_runtime': '39.51', 'eval_samples_per_second': '3.797', 'eval_steps_per_second': '3.797', 'epoch': '0.9697'}
{'loss': '0.1314', 'grad_norm': '0.1436', 'learning_rate': '5.327e-07', 'epoch': '0.9751'}
{'loss': '0.1069', 'grad_norm': '0.3306', 'learning_rate': '4.218e-07', 'epoch': '0.9805'}
{'loss': '0.07426', 'grad_norm': '0.1767', 'learning_rate': '3.108e-07', 'epoch': '0.9859'}
{'loss': '0.08874', 'grad_norm': '0.05405', 'learning_rate': '1.998e-07', 'epoch': '0.9912'}
{'loss': '0.03081', 'grad_norm': '0.06115', 'learning_rate': '8.879e-08', 'epoch': '0.9966'}
{'eval_loss': '0.116', 'eval_runtime': '39.61', 'eval_samples_per_second': '3.787', 'eval_steps_per_second': '3.787', 'epoch': '1'}
{'train_runtime': '1.419e+04', 'train_samples_per_second': '1.047', 'train_steps_per_second': '0.131', 'train_loss': '0.106', 'epoch': '1'}
