trainable params: 29,933,568 || all params: 3,115,872,256 || trainable%: 0.9607
{'loss': '0.6921', 'grad_norm': '0.6697', 'learning_rate': '8.911e-06', 'epoch': '0.008864'}
{'loss': '0.02032', 'grad_norm': '0.01361', 'learning_rate': '7.906e-05', 'epoch': '0.7003'}
{'loss': '0.02645', 'grad_norm': '0.01749', 'learning_rate': '7.876e-05', 'epoch': '0.7091'}
{'eval_loss': '0.03403', 'eval_runtime': '56.27', 'eval_samples_per_second': '16.88', 'eval_steps_per_second': '8.442', 'epoch': '0.7091'}
{'loss': '0.0641', 'grad_norm': '0.03033', 'learning_rate': '7.845e-05', 'epoch': '0.718'}
{'loss': '0.0313', 'grad_norm': '0.0186', 'learning_rate': '7.815e-05', 'epoch': '0.7269'}
{'loss': '0.05616', 'grad_norm': '0.02039', 'learning_rate': '7.785e-05', 'epoch': '0.7357'}
{'loss': '0.03105', 'grad_norm': '0.0138', 'learning_rate': '7.754e-05', 'epoch': '0.7446'}
{'loss': '0.0487', 'grad_norm': '0.04106', 'learning_rate': '7.724e-05', 'epoch': '0.7535'}
{'loss': '0.03123', 'grad_norm': '0.02957', 'learning_rate': '7.693e-05', 'epoch': '0.7623'}
{'loss': '0.04263', 'grad_norm': '0.02774', 'learning_rate': '7.663e-05', 'epoch': '0.7712'}
{'loss': '0.02184', 'grad_norm': '0.0093', 'learning_rate': '7.632e-05', 'epoch': '0.7801'}
{'loss': '0.04142', 'grad_norm': '0.05826', 'learning_rate': '7.602e-05', 'epoch': '0.7889'}
{'loss': '0.03837', 'grad_norm': '0.03278', 'learning_rate': '7.572e-05', 'epoch': '0.7978'}
{'loss': '0.0301', 'grad_norm': '0.03495', 'learning_rate': '7.541e-05', 'epoch': '0.8066'}
{'loss': '0.02636', 'grad_norm': '0.04971', 'learning_rate': '7.511e-05', 'epoch': '0.8155'}
{'loss': '0.01972', 'grad_norm': '0.02494', 'learning_rate': '7.48e-05', 'epoch': '0.8244'}
{'loss': '0.06884', 'grad_norm': '0.03965', 'learning_rate': '7.45e-05', 'epoch': '0.8332'}
{'loss': '0.04088', 'grad_norm': '0.05553', 'learning_rate': '7.419e-05', 'epoch': '0.8421'}
{'loss': '0.03013', 'grad_norm': '0.02464', 'learning_rate': '7.389e-05', 'epoch': '0.851'}
{'loss': '0.02994', 'grad_norm': '0.07916', 'learning_rate': '7.358e-05', 'epoch': '0.8598'}
{'loss': '0.04176', 'grad_norm': '0.03049', 'learning_rate': '7.328e-05', 'epoch': '0.8687'}
{'loss': '0.02596', 'grad_norm': '0.03907', 'learning_rate': '7.298e-05', 'epoch': '0.8776'}
{'loss': '0.03923', 'grad_norm': '0.0138', 'learning_rate': '7.267e-05', 'epoch': '0.8864'}
{'eval_loss': '0.03195', 'eval_runtime': '56.21', 'eval_samples_per_second': '16.9', 'eval_steps_per_second': '8.451', 'epoch': '0.8864'}
{'loss': '0.01588', 'grad_norm': '0.01859', 'learning_rate': '7.237e-05', 'epoch': '0.8953'}
{'loss': '0.03489', 'grad_norm': '0.07725', 'learning_rate': '7.206e-05', 'epoch': '0.9042'}
{'loss': '0.03508', 'grad_norm': '0.02471', 'learning_rate': '7.176e-05', 'epoch': '0.913'}
{'loss': '0.02562', 'grad_norm': '0.02825', 'learning_rate': '7.145e-05', 'epoch': '0.9219'}
{'loss': '0.04118', 'grad_norm': '0.02902', 'learning_rate': '7.115e-05', 'epoch': '0.9307'}
{'loss': '0.02087', 'grad_norm': '0.01811', 'learning_rate': '7.085e-05', 'epoch': '0.9396'}
{'loss': '0.01788', 'grad_norm': '0.02557', 'learning_rate': '7.054e-05', 'epoch': '0.9485'}
{'loss': '0.01717', 'grad_norm': '0.01169', 'learning_rate': '7.024e-05', 'epoch': '0.9573'}
{'loss': '0.04693', 'grad_norm': '0.03796', 'learning_rate': '6.993e-05', 'epoch': '0.9662'}
{'loss': '0.02046', 'grad_norm': '0.01837', 'learning_rate': '6.963e-05', 'epoch': '0.9751'}
{'loss': '0.06449', 'grad_norm': '0.04303', 'learning_rate': '6.932e-05', 'epoch': '0.9839'}
{'loss': '0.04152', 'grad_norm': '0.03025', 'learning_rate': '6.902e-05', 'epoch': '0.9928'}
{'loss': '0.03012', 'grad_norm': '0.1081', 'learning_rate': '6.872e-05', 'epoch': '1.001'}
{'loss': '0.03294', 'grad_norm': '0.02669', 'learning_rate': '6.841e-05', 'epoch': '1.01'}
{'loss': '0.02147', 'grad_norm': '0.01966', 'learning_rate': '6.811e-05', 'epoch': '1.019'}
{'loss': '0.01783', 'grad_norm': '0.0194', 'learning_rate': '6.78e-05', 'epoch': '1.027'}
{'loss': '0.02521', 'grad_norm': '0.01859', 'learning_rate': '6.75e-05', 'epoch': '1.036'}
{'loss': '0.01209', 'grad_norm': '0.02547', 'learning_rate': '6.719e-05', 'epoch': '1.045'}
{'loss': '0.01449', 'grad_norm': '0.03528', 'learning_rate': '6.689e-05', 'epoch': '1.054'}
{'loss': '0.02276', 'grad_norm': '0.01804', 'learning_rate': '6.659e-05', 'epoch': '1.063'}
{'eval_loss': '0.03147', 'eval_runtime': '56.21', 'eval_samples_per_second': '16.9', 'eval_steps_per_second': '8.451', 'epoch': '1.063'}
{'loss': '0.01344', 'grad_norm': '0.01361', 'learning_rate': '6.628e-05', 'epoch': '1.072'}
{'loss': '0.01785', 'grad_norm': '0.03565', 'learning_rate': '6.598e-05', 'epoch': '1.081'}
{'loss': '0.0314', 'grad_norm': '0.03524', 'learning_rate': '6.567e-05', 'epoch': '1.09'}
{'loss': '0.02484', 'grad_norm': '0.02119', 'learning_rate': '6.537e-05', 'epoch': '1.098'}
{'loss': '0.01759', 'grad_norm': '0.01376', 'learning_rate': '6.506e-05', 'epoch': '1.107'}
{'loss': '0.04398', 'grad_norm': '0.08661', 'learning_rate': '6.476e-05', 'epoch': '1.116'}
{'loss': '0.01062', 'grad_norm': '0.01213', 'learning_rate': '6.446e-05', 'epoch': '1.125'}
{'loss': '0.02013', 'grad_norm': '0.03172', 'learning_rate': '6.415e-05', 'epoch': '1.134'}
{'loss': '0.02914', 'grad_norm': '0.03743', 'learning_rate': '6.385e-05', 'epoch': '1.143'}
{'loss': '0.01569', 'grad_norm': '0.01454', 'learning_rate': '6.354e-05', 'epoch': '1.152'}
{'loss': '0.07779', 'grad_norm': '0.01583', 'learning_rate': '6.324e-05', 'epoch': '1.16'}
{'loss': '0.01993', 'grad_norm': '0.03253', 'learning_rate': '6.293e-05', 'epoch': '1.169'}
{'loss': '0.03107', 'grad_norm': '0.02709', 'learning_rate': '6.263e-05', 'epoch': '1.178'}
{'loss': '0.01565', 'grad_norm': '0.01735', 'learning_rate': '6.233e-05', 'epoch': '1.187'}
{'loss': '0.03096', 'grad_norm': '0.02536', 'learning_rate': '6.202e-05', 'epoch': '1.196'}
{'loss': '0.01737', 'grad_norm': '0.03784', 'learning_rate': '6.172e-05', 'epoch': '1.205'}
{'loss': '0.02928', 'grad_norm': '0.02308', 'learning_rate': '6.141e-05', 'epoch': '1.214'}
{'loss': '0.01915', 'grad_norm': '0.0388', 'learning_rate': '6.111e-05', 'epoch': '1.222'}
{'loss': '0.02408', 'grad_norm': '0.01881', 'learning_rate': '6.08e-05', 'epoch': '1.231'}
{'loss': '0.01554', 'grad_norm': '0.04055', 'learning_rate': '6.05e-05', 'epoch': '1.24'}
{'eval_loss': '0.03136', 'eval_runtime': '56.22', 'eval_samples_per_second': '16.9', 'eval_steps_per_second': '8.449', 'epoch': '1.24'}
{'loss': '0.04582', 'grad_norm': '0.008779', 'learning_rate': '6.019e-05', 'epoch': '1.249'}
{'loss': '0.01582', 'grad_norm': '0.01535', 'learning_rate': '5.989e-05', 'epoch': '1.258'}
{'loss': '0.02405', 'grad_norm': '0.009669', 'learning_rate': '5.959e-05', 'epoch': '1.267'}
{'loss': '0.05225', 'grad_norm': '0.0261', 'learning_rate': '5.928e-05', 'epoch': '1.276'}
{'loss': '0.04304', 'grad_norm': '0.02858', 'learning_rate': '5.898e-05', 'epoch': '1.285'}
{'loss': '0.02748', 'grad_norm': '0.02462', 'learning_rate': '5.867e-05', 'epoch': '1.293'}
{'loss': '0.05646', 'grad_norm': '0.03137', 'learning_rate': '5.837e-05', 'epoch': '1.302'}
{'loss': '0.01455', 'grad_norm': '0.009498', 'learning_rate': '5.806e-05', 'epoch': '1.311'}
{'loss': '0.03009', 'grad_norm': '0.04804', 'learning_rate': '5.776e-05', 'epoch': '1.32'}
{'loss': '0.01188', 'grad_norm': '0.01165', 'learning_rate': '5.746e-05', 'epoch': '1.329'}
{'loss': '0.01996', 'grad_norm': '0.0236', 'learning_rate': '5.715e-05', 'epoch': '1.338'}
{'loss': '0.03243', 'grad_norm': '0.01196', 'learning_rate': '5.685e-05', 'epoch': '1.347'}
{'loss': '0.02039', 'grad_norm': '0.03829', 'learning_rate': '5.654e-05', 'epoch': '1.355'}
{'loss': '0.01653', 'grad_norm': '0.02745', 'learning_rate': '5.624e-05', 'epoch': '1.364'}
{'loss': '0.01611', 'grad_norm': '0.03275', 'learning_rate': '5.593e-05', 'epoch': '1.373'}
{'loss': '0.0258', 'grad_norm': '0.02966', 'learning_rate': '5.563e-05', 'epoch': '1.382'}
{'loss': '0.04096', 'grad_norm': '0.02343', 'learning_rate': '5.533e-05', 'epoch': '1.391'}
{'loss': '0.01541', 'grad_norm': '0.01012', 'learning_rate': '5.502e-05', 'epoch': '1.4'}
{'loss': '0.04109', 'grad_norm': '0.01735', 'learning_rate': '5.472e-05', 'epoch': '1.409'}
{'loss': '0.01082', 'grad_norm': '0.0102', 'learning_rate': '5.441e-05', 'epoch': '1.418'}
{'eval_loss': '0.03035', 'eval_runtime': '56.24', 'eval_samples_per_second': '16.89', 'eval_steps_per_second': '8.446', 'epoch': '1.418'}
{'loss': '0.02171', 'grad_norm': '0.006393', 'learning_rate': '5.411e-05', 'epoch': '1.426'}
{'loss': '0.04142', 'grad_norm': '0.02243', 'learning_rate': '5.38e-05', 'epoch': '1.435'}
{'loss': '0.02212', 'grad_norm': '0.01927', 'learning_rate': '5.35e-05', 'epoch': '1.444'}
{'loss': '0.02659', 'grad_norm': '0.009677', 'learning_rate': '5.32e-05', 'epoch': '1.453'}
{'loss': '0.04045', 'grad_norm': '0.03551', 'learning_rate': '5.289e-05', 'epoch': '1.462'}
{'loss': '0.02228', 'grad_norm': '0.0228', 'learning_rate': '5.259e-05', 'epoch': '1.471'}
{'loss': '0.01411', 'grad_norm': '0.01256', 'learning_rate': '5.228e-05', 'epoch': '1.48'}
{'loss': '0.06496', 'grad_norm': '0.03504', 'learning_rate': '5.198e-05', 'epoch': '1.488'}
{'loss': '0.03382', 'grad_norm': '0.03211', 'learning_rate': '5.167e-05', 'epoch': '1.497'}
{'loss': '0.01322', 'grad_norm': '0.005532', 'learning_rate': '5.137e-05', 'epoch': '1.506'}
{'loss': '0.01645', 'grad_norm': '0.04576', 'learning_rate': '5.107e-05', 'epoch': '1.515'}
{'loss': '0.01744', 'grad_norm': '0.0334', 'learning_rate': '5.076e-05', 'epoch': '1.524'}
{'loss': '0.0338', 'grad_norm': '0.02539', 'learning_rate': '5.046e-05', 'epoch': '1.533'}
{'loss': '0.08464', 'grad_norm': '0.02228', 'learning_rate': '5.015e-05', 'epoch': '1.542'}
{'loss': '0.0157', 'grad_norm': '0.01172', 'learning_rate': '4.985e-05', 'epoch': '1.55'}
{'loss': '0.01313', 'grad_norm': '0.02896', 'learning_rate': '4.954e-05', 'epoch': '1.559'}
{'loss': '0.01143', 'grad_norm': '0.01014', 'learning_rate': '4.924e-05', 'epoch': '1.568'}
{'loss': '0.01732', 'grad_norm': '0.02121', 'learning_rate': '4.893e-05', 'epoch': '1.577'}
{'loss': '0.02361', 'grad_norm': '0.037', 'learning_rate': '4.863e-05', 'epoch': '1.586'}
{'loss': '0.01814', 'grad_norm': '0.01974', 'learning_rate': '4.833e-05', 'epoch': '1.595'}
{'eval_loss': '0.03327', 'eval_runtime': '56.15', 'eval_samples_per_second': '16.92', 'eval_steps_per_second': '8.46', 'epoch': '1.595'}
{'loss': '0.01571', 'grad_norm': '0.01553', 'learning_rate': '4.802e-05', 'epoch': '1.604'}
{'loss': '0.01543', 'grad_norm': '0.006625', 'learning_rate': '4.772e-05', 'epoch': '1.613'}
{'loss': '0.03719', 'grad_norm': '0.01598', 'learning_rate': '4.741e-05', 'epoch': '1.621'}
{'loss': '0.01781', 'grad_norm': '0.02969', 'learning_rate': '4.711e-05', 'epoch': '1.63'}
{'loss': '0.04459', 'grad_norm': '0.02183', 'learning_rate': '4.68e-05', 'epoch': '1.639'}
{'loss': '0.02536', 'grad_norm': '0.03559', 'learning_rate': '4.65e-05', 'epoch': '1.648'}
{'loss': '0.04194', 'grad_norm': '0.008474', 'learning_rate': '4.62e-05', 'epoch': '1.657'}
{'loss': '0.02255', 'grad_norm': '0.02106', 'learning_rate': '4.589e-05', 'epoch': '1.666'}
{'loss': '0.01158', 'grad_norm': '0.0324', 'learning_rate': '4.559e-05', 'epoch': '1.675'}
{'loss': '0.02296', 'grad_norm': '0.02262', 'learning_rate': '4.528e-05', 'epoch': '1.683'}
{'loss': '0.02118', 'grad_norm': '0.004595', 'learning_rate': '4.498e-05', 'epoch': '1.692'}
{'loss': '0.02226', 'grad_norm': '0.01627', 'learning_rate': '4.467e-05', 'epoch': '1.701'}
{'loss': '0.04121', 'grad_norm': '0.05852', 'learning_rate': '4.437e-05', 'epoch': '1.71'}
{'loss': '0.03273', 'grad_norm': '0.0151', 'learning_rate': '4.407e-05', 'epoch': '1.719'}
{'loss': '0.01632', 'grad_norm': '0.02752', 'learning_rate': '4.376e-05', 'epoch': '1.728'}
{'loss': '0.05382', 'grad_norm': '0.007839', 'learning_rate': '4.346e-05', 'epoch': '1.737'}
{'loss': '0.01653', 'grad_norm': '0.04571', 'learning_rate': '4.315e-05', 'epoch': '1.745'}
{'loss': '0.01863', 'grad_norm': '0.02529', 'learning_rate': '4.285e-05', 'epoch': '1.754'}
{'loss': '0.02572', 'grad_norm': '0.03016', 'learning_rate': '4.254e-05', 'epoch': '1.763'}
{'loss': '0.01927', 'grad_norm': '0.01673', 'learning_rate': '4.224e-05', 'epoch': '1.772'}
{'eval_loss': '0.02952', 'eval_runtime': '56.17', 'eval_samples_per_second': '16.91', 'eval_steps_per_second': '8.456', 'epoch': '1.772'}
{'loss': '0.03746', 'grad_norm': '0.03634', 'learning_rate': '4.194e-05', 'epoch': '1.781'}
{'loss': '0.04111', 'grad_norm': '0.02799', 'learning_rate': '4.163e-05', 'epoch': '1.79'}
{'loss': '0.03145', 'grad_norm': '0.02082', 'learning_rate': '4.133e-05', 'epoch': '1.799'}
{'loss': '0.02479', 'grad_norm': '0.04589', 'learning_rate': '4.102e-05', 'epoch': '1.808'}
{'loss': '0.0324', 'grad_norm': '0.02084', 'learning_rate': '4.072e-05', 'epoch': '1.816'}
{'loss': '0.01574', 'grad_norm': '0.0165', 'learning_rate': '4.041e-05', 'epoch': '1.825'}
{'loss': '0.01891', 'grad_norm': '0.01445', 'learning_rate': '4.011e-05', 'epoch': '1.834'}
{'loss': '0.04774', 'grad_norm': '0.06069', 'learning_rate': '3.981e-05', 'epoch': '1.843'}
{'loss': '0.01865', 'grad_norm': '0.01845', 'learning_rate': '3.95e-05', 'epoch': '1.852'}
{'loss': '0.01954', 'grad_norm': '0.01476', 'learning_rate': '3.92e-05', 'epoch': '1.861'}
{'loss': '0.01907', 'grad_norm': '0.02124', 'learning_rate': '3.889e-05', 'epoch': '1.87'}
{'loss': '0.03159', 'grad_norm': '0.03409', 'learning_rate': '3.859e-05', 'epoch': '1.878'}
{'loss': '0.02823', 'grad_norm': '0.0307', 'learning_rate': '3.828e-05', 'epoch': '1.887'}
{'loss': '0.01207', 'grad_norm': '0.02681', 'learning_rate': '3.798e-05', 'epoch': '1.896'}
{'loss': '0.01709', 'grad_norm': '0.007185', 'learning_rate': '3.767e-05', 'epoch': '1.905'}
{'loss': '0.01146', 'grad_norm': '0.02633', 'learning_rate': '3.737e-05', 'epoch': '1.914'}
{'loss': '0.04416', 'grad_norm': '0.04055', 'learning_rate': '3.707e-05', 'epoch': '1.923'}
{'loss': '0.01939', 'grad_norm': '0.02931', 'learning_rate': '3.676e-05', 'epoch': '1.932'}
{'loss': '0.01857', 'grad_norm': '0.03975', 'learning_rate': '3.646e-05', 'epoch': '1.94'}
{'loss': '0.0279', 'grad_norm': '0.03091', 'learning_rate': '3.615e-05', 'epoch': '1.949'}
{'eval_loss': '0.02841', 'eval_runtime': '56.19', 'eval_samples_per_second': '16.91', 'eval_steps_per_second': '8.454', 'epoch': '1.949'}
{'loss': '0.01627', 'grad_norm': '0.04083', 'learning_rate': '3.585e-05', 'epoch': '1.958'}
{'loss': '0.02474', 'grad_norm': '0.01915', 'learning_rate': '3.554e-05', 'epoch': '1.967'}
{'loss': '0.04667', 'grad_norm': '0.059', 'learning_rate': '3.524e-05', 'epoch': '1.976'}
{'loss': '0.03282', 'grad_norm': '0.0158', 'learning_rate': '3.494e-05', 'epoch': '1.985'}
{'loss': '0.01984', 'grad_norm': '0.01709', 'learning_rate': '3.463e-05', 'epoch': '1.994'}
{'loss': '0.02139', 'grad_norm': '0.00969', 'learning_rate': '3.433e-05', 'epoch': '2.002'}
{'loss': '0.01209', 'grad_norm': '0.05034', 'learning_rate': '3.402e-05', 'epoch': '2.011'}
{'loss': '0.00949', 'grad_norm': '0.01634', 'learning_rate': '3.372e-05', 'epoch': '2.02'}
{'loss': '0.02759', 'grad_norm': '0.01037', 'learning_rate': '3.341e-05', 'epoch': '2.028'}
{'loss': '0.01529', 'grad_norm': '0.01377', 'learning_rate': '3.311e-05', 'epoch': '2.037'}
{'loss': '0.007309', 'grad_norm': '0.005111', 'learning_rate': '3.281e-05', 'epoch': '2.046'}
{'loss': '0.009363', 'grad_norm': '0.0156', 'learning_rate': '3.25e-05', 'epoch': '2.055'}
{'loss': '0.01737', 'grad_norm': '0.01494', 'learning_rate': '3.22e-05', 'epoch': '2.064'}
{'loss': '0.0153', 'grad_norm': '0.01592', 'learning_rate': '3.189e-05', 'epoch': '2.073'}
{'loss': '0.01645', 'grad_norm': '0.0601', 'learning_rate': '3.159e-05', 'epoch': '2.082'}
{'loss': '0.01459', 'grad_norm': '0.03521', 'learning_rate': '3.128e-05', 'epoch': '2.09'}
{'loss': '0.008344', 'grad_norm': '0.04158', 'learning_rate': '3.098e-05', 'epoch': '2.099'}
{'loss': '0.01113', 'grad_norm': '0.01813', 'learning_rate': '3.068e-05', 'epoch': '2.108'}
{'loss': '0.02431', 'grad_norm': '0.0271', 'learning_rate': '3.037e-05', 'epoch': '2.117'}
